sample_id,blend_id,plant_components,plant_ratios,reported_compound_name,candidate_names,retention_time_min,library_match_quality,reported_smiles,reported_class,source_table,source_row,metadata,timepoint,storage_days,area_percent,peak_id
lemongrass,lemongrass_control,"[""Cymbopogon citratus""]","{""Cymbopogon citratus"": 30.0}",Citral,[],7.296,97.0,CC(C)=CCCC(C)=CC=O,,Table 4.1,Table 4.1 row 1,"{""identity_status"": ""tentative_library_annotation"", ""reported_name_verbatim"": ""Citral"", ""reported_quality_verbatim"": ""97"", ""reported_smiles_verbatim"": ""CC(C)=CCCC(C)=CC=O"", ""source_preserved_without_silent_correction"": true}",before_storage,0,13.1,project_blends_reported_v1:lemongrass:before:001
lemongrass,lemongrass_control,"[""Cymbopogon citratus""]","{""Cymbopogon citratus"": 30.0}",Thymol,[],7.401,90.0,CC1=CC(=C(C=C1)C(C)C)O,,Table 4.1,Table 4.1 row 2,"{""identity_status"": ""tentative_library_annotation"", ""reported_name_verbatim"": ""Thymol"", ""reported_quality_verbatim"": ""90"", ""reported_smiles_verbatim"": ""CC1=CC(=C(C=C1)C(C)C)O"", ""source_preserved_without_silent_correction"": true}",after_storage,28,1.4,project_blends_reported_v1:lemongrass:after:002
lemongrass,lemongrass_control,"[""Cymbopogon citratus""]","{""Cymbopogon citratus"": 30.0}",Eugenol,[],8.008,97.0,C=CCc1ccc(O)c(OC)c1,,Table 4.1,Table 4.1 row 3,"{""identity_status"": ""tentative_library_annotation"", ""reported_name_verbatim"": ""Eugenol"", ""reported_quality_verbatim"": ""97"", ""reported_smiles_verbatim"": ""C=CCc1ccc(O)c(OC)c1"", ""source_preserved_without_silent_correction"": true}",after_storage,28,64.13,project_blends_reported_v1:lemongrass:after:003
lemongrass,lemongrass_control,"[""Cymbopogon citratus""]","{""Cymbopogon citratus"": 30.0}",Caryophyllene,[],8.531,99.0,CC1CCC2C(C1)CCC3C2CCC4C3(CCC(C4)C)C,,Table 4.1,Table 4.1 row 4,"{""identity_status"": ""tentative_library_annotation"", ""reported_name_verbatim"": ""Caryophyllene"", ""reported_quality_verbatim"": ""99"", ""reported_smiles_verbatim"": ""CC1CCC2C(C1)CCC3C2CCC4C3(CCC(C4)C)C"", ""source_preserved_without_silent_correction"": true}",after_storage,28,5.57,project_blends_reported_v1:lemongrass:after:004
lemongrass,lemongrass_control,"[""Cymbopogon citratus""]","{""Cymbopogon citratus"": 30.0}",Humulene,[],8.793,97.0,CC1CCC2C(C1)CCC3C2CCC4C3(CCC(C4)C)C,,Table 4.1,Table 4.1 row 5,"{""identity_status"": ""tentative_library_annotation"", ""reported_name_verbatim"": ""Humulene"", ""reported_quality_verbatim"": ""97"", ""reported_smiles_verbatim"": ""CC1CCC2C(C1)CCC3C2CCC4C3(CCC(C4)C)C"", ""source_preserved_without_silent_correction"": true}",after_storage,28,0.66,project_blends_reported_v1:lemongrass:after:005
lemongrass,lemongrass_control,"[""Cymbopogon citratus""]","{""Cymbopogon citratus"": 30.0}","1,3-Cyclohexadiene, 5-(1,5-dimethyl-4-hexenyl)-2-methyl-, [S-(R*,S*)]-",[],9.013,87.0,[C@H]1CCC[C@@H]2[C@@H]1CCC(C2)C(C)C,,Table 4.1,Table 4.1 row 6,"{""identity_status"": ""tentative_library_annotation"", ""reported_name_verbatim"": ""1,3-Cyclohexadiene, 5-(1,5-dimethyl-4-hexenyl)-2-methyl-, [S-(R*,S*)]-"", ""reported_quality_verbatim"": ""87"", ""reported_smiles_verbatim"": ""[C@H]1CCC[C@@H]2[C@@H]1CCC(C2)C(C)C"", ""source_preserved_without_silent_correction"": true}",after_storage,28,1.36,project_blends_reported_v1:lemongrass:after:006
lemongrass,lemongrass_control,"[""Cymbopogon citratus""]","{""Cymbopogon citratus"": 30.0}","Phenol, 2-methoxy-4-(2-propenyl)-, acetate",[],9.254,97.0,CC(=O)OCc1ccc(OCC=C)cc1OC,,Table 4.1,Table 4.1 row 7,"{""identity_status"": ""tentative_library_annotation"", ""reported_name_verbatim"": ""Phenol, 2-methoxy-4-(2-propenyl)-, acetate"", ""reported_quality_verbatim"": ""97"", ""reported_smiles_verbatim"": ""CC(=O)OCc1ccc(OCC=C)cc1OC"", ""source_preserved_without_silent_correction"": true}",after_storage,28,10.2,project_blends_reported_v1:lemongrass:after:007
lemongrass,lemongrass_control,"[""Cymbopogon citratus""]","{""Cymbopogon citratus"": 30.0}","2-Butanone, 4-(4-hydroxy-3-methoxyphenyl)-",[],10.133,96.0,COc1cc(ccc1O)C(=O)CC,,Table 4.1,Table 4.1 row 8,"{""identity_status"": ""tentative_library_annotation"", ""reported_name_verbatim"": ""2-Butanone, 4-(4-hydroxy-3-methoxyphenyl)-"", ""reported_quality_verbatim"": ""96"", ""reported_smiles_verbatim"": ""COc1cc(ccc1O)C(=O)CC"", ""source_preserved_without_silent_correction"": true}",after_storage,28,1.11,project_blends_reported_v1:lemongrass:after:008
lemongrass,lemongrass_control,"[""Cymbopogon citratus""]","{""Cymbopogon citratus"": 30.0}",1-(4-Hydroxy-3-methoxyphenyl)dec-4-en-3-one,[],13.882,96.0,COc1cc(ccc1O)C(=O)C=CCC,,Table 4.1,Table 4.1 row 9,"{""identity_status"": ""tentative_library_annotation"", ""reported_name_verbatim"": ""1-(4-Hydroxy-3-methoxyphenyl)dec-4-en-3-one"", ""reported_quality_verbatim"": ""96"", ""reported_smiles_verbatim"": ""COc1cc(ccc1O)C(=O)C=CCC"", ""source_preserved_without_silent_correction"": true}",after_storage,28,2.47,project_blends_reported_v1:lemongrass:after:009
lemongrass,lemongrass_control,"[""Cymbopogon citratus""]","{""Cymbopogon citratus"": 30.0}","1-(4-Hydroxy-3-methoxyphenyl)decane-3,5-dione",[],14.091,92.0,COc1cc(ccc1O)C(=O)CC(=O)C,,Table 4.1,Table 4.1 row 10,"{""identity_status"": ""tentative_library_annotation"", ""reported_name_verbatim"": ""1-(4-Hydroxy-3-methoxyphenyl)decane-3,5-dione"", ""reported_quality_verbatim"": ""92"", ""reported_smiles_verbatim"": ""COc1cc(ccc1O)C(=O)CC(=O)C"", ""source_preserved_without_silent_correction"": true}",after_storage,28,1.0,project_blends_reported_v1:lemongrass:after:010
